Item,UOM,EY %
Octopus,lb,33%
Salmon,lb,88%
Ground Pork,lb,100%
Chicken Livers,lb,100%
Sturgeon,lb,80%
Sword Fish,lb,57%
Beef Tenderloin,lb,38%
0x1 Short Loin (Strip),lb,50%
Breakfast Links,lbs,100%
Eye of Round,lbs,78%
